,text
301,I wish I had known about buying iphones this way a long time ago. Price is amazing and the phone is perfect Like New condition! I will never buy another phone from the carriers again.
302,"I waited three weeks after purchase to write this review. Because I wanted to give an honest an proper review. When the phone came it was in great condition, the phone charged perfectly. And even though the facial recognition software is good it is flawed but not the device itself. I have noticed that the screen lags a bit, I have to turn the phone upside down in order for it to work sometimes. This doesn’t happen often but it does happen. Outside of that the phone is great and I’m glad I purchased it from this company."
303,My son love’s his new phone & the quality is great. Came with a nice charger too
304,My expectations were met.
305,"el envió por FedEx, fue un pco molesto, no llego a mi domicilio y tube que rastrear el paquete hasta la oficina FedEx donde estaba el paquete. pero valió la pena, porque el celular esta en excelentes condiciones, si rayones, ya lo utilice por una semana y no me  ha dado problema, lo recomiendo."
306,Very impressed with the quality.  One of few purchases that was what it was said to be.
307,"The phone works as should and quality is not bad as well. However, I was unable to connect my phone to any Bluetooth devices as the phone would not pick any of them up when trying to pair. I contacted the seller and went through troubleshooting steps which did not fix the problem. I was told to sign out of the phone and send a screenshot to prove I was signed out and they would send a return label for a replacement. I’m not exactly sure the relevance of this. Return label was sent and I was asked to send proof that the phone was sent back through postal service. I’m not sure the relevance of this either as there is a tracking number on the return label. I respectfully asked for a $20 credit as I would now have to pay two activation fees with my carrier (which actually turned out to be three fees as I needed to reactivate my old phone while waiting for the replacement to come in which equals out to $40 extra I should not be shelling out). I was told they don’t know what an activation fee is, that their phones are all unlocked, and to send proof of the activation fee and they would research it and make a decision. I’m not sure what planet these people are from but it’s definitely not here.. Do better.Update: I sent the proof of return to this company and now they say they don’t have this phone in stock and will refund me once they see the condition of the phone. The worst company ever."
308,"Got this for my wife, she love it, and the battery is still 100%"
309,"My wireless provider does not offer monthly plans on phones.  Two of our phones needed an upgrade and for the first time, we turned to an unlocked renewed iPhone option for its affordability. We are glad we did!The activation was easy via our provider website and/or their application. The shipping was faster than expected and this seller uses a reliable courier company. The condition of both phones were excellent! It was a great experience and we are grateful that we found this opportunity to upgrade for performing and quality phones at an affordable cost as they came in great condition. We would not hesitate to buy again from this seller.  We enjoy our new renewed phones very much!"
310,Battery 89% not bad
311,The condition is somewhat plausible. Everything about it is great! But battery life is a necessity. At a whopping 82% battery health. I could say it can be better. Also came with a broken back glass and non functioning left speaker. Still a great product for its price! The phone still works amazingly well!
312,Mine arrived with some scuff marks around the camera and a cracked screen protector but other than that pretty good item and works normally
313,"The battery life was surprisingly very good, considering this is a used phone…the condition of the overall phone was very good. So far so good, and would definitely recommend"
314,Honestly there battery life is great and they phone is amazing
315,Arrived in a dqy. Very surprised at the condition of the phone. The battery was also at 95% which was not excepted also. I will do business with amazon again now v.s ebay for all my iphone shopping. thanks amazon renewed!
316,I got this for my son after his last phone was broken. This was a cheaper option than our local refurbished phone store. I was nervous about the quality but we received a nice phone with no major marks or anything. There was like a tiny scratch on the corner of the screen when held at a specific angle it was visible but not bad. Everything else has been fine. I like that you can return in 90 days if anything goes wrong. The pricing was good and I keep asking my son if there is any glitching or anything and he says it’s working fine. I will probably order my next phone on here too.
317,This phone is really awesome I love it the only problem I will say is the battery life I guess I was expecting more with the battery health but it not a big deal other from that it is amazing
318,I like the size. I do not like the sound quality.
319,Received my phone unlocked from the seller quicker than advertised. Minor scratches on case but the screen looked almost new. Came with a screen protector installed and a battery health of 96%. I was worried about ordering a renewed phone but the experience has been great so far.
320,This was a good purchase overall. The phone looks brand new and works well for the most part…. But every once in a while it does somewhat weird things. The screen sometimes freezes while I’m using speaker phone and there are times when I try to watch a video on FB or TikTok and there’s no sound at all. I turn the volume to the max and still am not able to hear anything. I have to close the app and reopen it to fix it.
321,Ordered the iPhone XR fir my daughter. It’s her first phone so we wanted to get something inexpensive to see how she handles it. Phone came faster than expected and is in top notch quality. I don’t have anything negative to say about this purchase. Would definitely recommend to anyone looking for a bargain. I will definitely be purchasing more items in the future.
322,its great ive had the phone for a week now at first i was worried i was going to be scammed but i wasnt would definally recomend
323,Just the best phone ever! Great size! Great camera!
324,"Everything loaded fine but the ear speaker was weak and distorted, upon inspection the speaker screen was plugged. As a certified MDR tech I cleaned the screen as pictured did not get perfect without removal. Then found that the lightning plug socket was lint packed and required cleaning.  Now it works great."
325,"I've been struggling with Android for years trying to save money over Apple. Finally I had had enough and decided to get an unlocked iPhone XR 256 (White) from Amazon (Renewed).What can I say?This phone is awesome. It's fast, it's all-screen, it's unlocks and logs into things using your face. It's solid. Sound quality is great. I feel like I'm using a REAL tool and not a toy.It does't detect very weak cellular signal well, but it doesn't drop calls either. I don't accidentally hit the mute button like on my old iPhone and Android phones.Battery life is good, but not great (about a day and a half with light usage). Downloads are LIGHTNING fast (50MB in less than four seconds over my 175mbps broadband). It downloadeded my old Zen Pinball tables almost instantly.What I don't like:No headphone jack. Back is glass and easily slides off furniture and tables (I keep finding it on the floor). Volume buttons are on the left side instead of right.Everything else?Perfect. This phone is a pleasure to use and Amazon sells it at about HALF the price of new retail. Battery Health was at 95% when received. No cracks or scratches. Generic crappy power connector included (but who doesn't already have 50?). No headphones included (big whoop).If you want to save some money and get a REAL phone this one is a winner."
326,Came in like brand new except the battery 🔋 life like 80% but it’s ok it was good price and all for a gift 🎁 to someone.
327,I was a little worried at first bc of the reviews but i got the phone and it looked brand new minus a few scratches that i could barley see. the battery health was at 100%. i just got it today so if anything happens i’ll update.
328,"Very good condition, everything works perfectly, very good steals and deals"
329,This phone looks and operates flawlessly.
330,"We were very skeptical buying a refurbished phone but the phone came and it looked brand new and still runs brand new. Came with charger , not in a apple box but that was not an issue for us !"
331,Phone came in today is in amazing condition hopefully I don’t run into any problems along the way I almost thought it was a new phone had no scuffs or scratches well  recommend you buy forget the negative comments.
332,The speed of shipping in this item was awesome. I live in a rural area and two days shipping is a stretch sometimes. This item came next day. I’m very pleased as this is as good as new plus they shipped it with a screen protector attached. I highly recommend!
333,"This is the first Apple phone I've ever owned or used. I'm still learning to navigate it, but so far it's working well. I got it to use for my 360 photo booth business."
334,"The battery life was 79% and it’s disappointing should be ware when buying it, for how long more U can use it than keep it all the time on charger…."
335,"i’m not sure if it was because i ordered right before prime week or if i just got lucky but i got here the next day. like exactly 24 hours. the phone was in great condition, the charger they sent with it is literal heaven. buy from these folks, it’ll be worth the money !!!!"
336,"Product is guaranteed as ""- This product will have a battery that exceeds 80% capacity relative to new.""However, the product I received had a battery health of ""significantly degraded"" and ""service"". Battery's maximum capacity is only 71%, not the guaranteed exceeding 80% value.Phone is scratched somewhat badly on the bottom.Screen seems fine.Will see if replacement is possible. I'm assuming this product is frankly just hit or miss; you might get a decent phone or you might not. It does not seem they actually check to make sure the guarantees are there; they just make them up and hope you don't check. Make sure to check your phone's status immediately.UPDATE: Phone dies at around 95% battery life. It will not turn back on until charged, in which case it will immediately be charged to 90% battery life and repeat the same process (essentially, the phone only seems to have 5-10% battery life available). Severely degraded phone. Returning immediately and purchasing a new phone."
337,"Iphone XR is cosmetically like new. Everything seems to be working as expected, and my 14 year old son seems very pleased. Screen has no dead pixels or scratches and the battery life seems on par with a device this old. Would buy from this seller again for sure."
338,It works perfectly
339,"Bought this for my father in law who is coming from a 3 year old Android phone that was on its last leg. The iPhone XR was a huge upgrade and I was pleasantly surprised that this particular ""renewed"" device had good battery life, and not a scratch on it. Maybe I lucked out, but would buy it again."
340,"Was pretty bit unsure about ordering a renewed/refurbished phone so took a gamble an surprisingly was worth it got my phone pretty quickly which was a surprised, came in a very strange box an before i went to work but taking it along with me i did my little review an i gotta say i got lucky phone was in almost perfect condition no scratches or wear, mine came in as 90% battey health, was Unlocked an no i didnt order premium but glad i took a gamble. Glad i finally upgraded to something better besides my iphone 6 plus, if theres problems with yours you can always send it back an get a hopefully better one in the little brochure it comes with but yeah 5 stars"
341,"Everything looks great in box. It has 89% battery life, minor scuffs on corners. No cracks. But the screen is most definitely aftermarket. Colors are far from good. Other than that its a cheap phone that will get me by for awhile."
342,"Never mind the package, which is pretty good. The phone is in pristine conditions and it works perfect. Can easily pass for a brand new phone. Cable and charger, included. No hustle purchase, fast delivery. Will definitely consider for near future phone replacement."
343,Phone is ok speaker is bad
344,"Phone came with some dings around the edges, camera lense also has dings around the edge. Battery health came in at 89%. Otherwise works fine so far."
345,I loved the color and quality. I was able to set it up in a little over and hr. I’m overall very happy with it!
346,"I bought this for my 14 years old daughter.  Here is her review:I've had this IPhone for over a month now, and I have determined that buying a refurbished IPhone was a great choice to cut costs, and it's great for the environment as well! We bought from the seller 'MOBILESUPPLY'.Accessories: The IPhone came with a lightning cable and a power adapter that were not manufactured by Apple, but they were still compatible with the phone and worked just fine!Appearance: I could not see any scuff marks or any other imperfections on the IPhone (though I am not an expert).Battery: The IPhone came with 91% battery capacity (which means that the battery could hold 91% of the charge that it could hold when it was new). It can still last for 1.5-2 days without having to charge if I use apps that don't drain battery fast (such as games and Youtube).Setup: Everything was easy to set up, I just needed to log into my ICloud account and set up Siri, face ID, etc, which were all very simple. There was none of the previous owner's data on the phone.Use: I can download apps without any issues, and everything runs smoothly (no lag, glitches, etc). Face ID works very well, and the audio played from the phone's speakers sounds great!I hope this helps!"
347,"My cousin ordered for her bf at the time.. he broke up with her, she should’ve just left his ass phoneless"
348,"The experience was a bit worrysome, since the product description was inconsistent through different parts of the shipping process.iPhone XR Coral Amazon Renewed - what I added to the amazon basket.iPhone XR Coral Amazon Renewed, with image of black iphone, Sold by Verison - what was in the order details.iPhone XR ""New"" from Verzion - what was listed on box and pamplets shipped with product.iPhone XR Coral - what I received.Product was in great condition.  I popped in a TMobile sim card from my old phone, and data+text+calls worked without any special provider configuration."
349,Bought this for our son. Battery drained easily. Something was wrong with the speaker as well. We are returning it.
350,it’s basically a brand new phone. doesn’t come with a charger tho. works fine. no cracks or scratches
351,The battery life that it came with was 84% so I would say it was pretty good. Although it did come with like a medium sized scratch on the screen but it’s was nothing that a screen protector can cover up
352,My hubby loves this phone. Nothing to flashy. The screen quality is perfect. Has very minimal scratches around camera area. That was ok with me. Will update later on battery life.
353,To heavy and keeps automatically switching out of 3g and lte to the lowest data option. Good camera.
354,"                    The media could not be loaded.                 It’s been about a week since this phone was purchased and so far, there has not been any problems with the phone. It works perfectly and does its work fine! I tested the camera, phone call quality, speaker audio, bluetooth connection, and etc for any malfunctions and there was no issues. The phone itself was in decent condition, as shown on the pictures, there is a small chip on the top right corner of the phone and some chipped particles on the camera that can barely be seen. I had no issues with the chipped corner since it was really small and can easily be covered with a phone case! It came with a charger that I personally wouldn’t use since the charging speed is slow, but other than that it is a great phone! I would recommend if you want to save some bucks on a decent phone for regular use."
355,I like this phone working very good recommend save money
356,"I ordered two of these phones. One looked brand new and worked great. The other phone had an issue in that the internal microphone did not work. The phone worked with a headset, but not without. I was able to exchange it right away. The replacement looks and works great. Good customer service after the sale. Quick and polite messages from the seller. I would recommend this product, and this seller."
357,"Took SIM card from old phone , put it into new one. Went through manual set up. That was it , everything works fine. Very happy"
358,"It was a gift for my mum, way better then her old iPhone 6. She loves it and I’m happy I purchased this🔥🔥"
359,loved the battery life and the camera quality
360,It was great for a phone of Amazon a little dirt around the camera but still great
361,"Mine came with 91% battery life along with a screen protector. It’s definitely a good deal if you want a good phone for a cheap price. In addition, XR will get a few more years of IOS update, so if you’re looking to upgrade, it’s best to get it now."
362,Phone was in good shape and works great
363,"Great phone for a great price. It's been a couple months and it's working perfectly. No issues, but batter life seems a little low. Not sure if that's an issue with the phone or with my daughter, though. Charging cable it came with also wasn't working, so I had to buy a new one, but that's not a big deal."
364,4 stars from me1.I got it activated through metro pcs2.No obvious dents or scratches3.Works fine for now4. Speaker sounds wonderful and the camera quality is better than the iPhone 6s5. A very fair deal6. Set up was very easy7. Came with charger and nicely sealedI don’t have any complaints
365,Perfection
366,When i make a call the line is broken at times that i can hardly hear the other person
367,The phone worked good but they wouldn’t connect it for some reason. My issue is that I shipped the phone back and never received my refund.
368,"Perfect phone, Perfect seller! So happy with this purchase, would definitely buy the same phone from the same seller again. Exactly as was shown and described on Amazon and the seller was way helpful--Thank You!! Highly Recommend! 5 stars A+ 4 Paws Up!"
369,                    The media could not be loaded.                
370,"Almost everything about the phone was perfect. When I first got it, it didn't come in fancy box or anything just bubble wrap and an extra charger and block. I really don't care about how fancy it looks just that it kept my phone safe. It did just that. I was able to log on and type well. The facial recognition but after a few days of having it, the touch screen started acting weird. It would not let me type for a good five minutes then work again. The screen has no scratches or cracks. It looks like it if from the inside that is messed up. Overall,  It is a very nice phone."
371,"The Phone is B- grade, some scratches on the screen and the sides... good condition."
372,All in all I’m happy with the phone
373,very nice
374,"This phone is amazing so far. The seller I chose was Decluttr, and they delivered perfectly on this product. I've never owned an iPhone before, but this seller made it a great first experience.If you're considering buying one of these iPhones, remember to choose the right seller wisely. I chose Decluttr because they had high reviews and great shipping, and that decision was pretty good for me.On the phone itself, there's little to no scratches or scuffs on the phone, and it works perfectly. The battery I got was at around 90%, which is the only thing I can really complain about. But besides that, this was a great value phone. Definitely recommend it."
375,"It’s like a brand new iPhone but the battery you can tell has been used, I would recommend buying a replacement battery."
376,"The phone came in great condition, came unlocked like I ordered, No problems at all."
377,"The phone is amazing in quality, features, and use for such a refurbished and renewed phone. However, the only issue may be the phone overheating after consistently gaming or using it after a couple hours."
378,"Renewed iPhone XR 64g - February 2022Here is my Amazon review:Delivery was excellent, received tracking later that day and received phone 48 hours later via FedEx. Came securely in a generic box, with generic accessories, and free screen protector (missing the SIM card adapter). Visibly on back of phone it was very noticeably scratched up but no scratches on the screen itself.  It was easy to set up and was unlocked as advertised.  Maximum Battery capacity is 85%."
379,Came with small cracks submitted it never heard back
380,"The delivery was fast and reliable. The earpiece was faulty, though. Had to replace the phone. The replacement came in just fine."
381,Works great but not unlocked as it said
382,Muy bien
383,Excellent condition but battery life was a little low and speakers sounded distorted
384,"Me gustó mucho, la entrega fue perfecta y el teléfono se encuentra en perfecto estado. La batería tiene bastante vida útil y el precio es genial"
385,The face recognition is always on point and detects me even in the dark with my screen being on dim most of the time if there was anything I could say that’s wrong with it is that the curve at the top where the camera is located sometimes gets in the way of videos I’m trying to watch but other than that it’s pretty good
386,Work like brand new no issues.
387,Was was working perfectly its almost been a year simce and i have no troubles
388,"I got it 2 days early and I love the phone. It's my first iPhone I've gotten and I enjoy it. I have cricket wireless and it works fine. Battery was good, cameras are amazing. Lcd display is good, no cracks and mine came with a screen protector. No earpods but it's fine. Charges fine. Everything you need from a phone, this give. Amazing product"
389,"Just got mine today and so far I love it! Not sure why there are so many negative reviews, maybe just be mindful of which supplier you pick. I got mine from All-Out Mobile since they had 95% positive reviews. It is backed by amazon guarantee so it’s sort of risk free, although it would be a hassle to try to return it. They did send me a different color than what I ordered, but they tried to contact me and let me know and I missed the call which is my bad so I’m not docking any points for that. They just sent me a white one, and who really cares about the color that much since you’re most likely gonna put a case on it anyways. There is also a couple very minimal scratches on the side but it is refurbished after all so I wasn’t expecting perfection. It operates flawlessly and it shipped so fast I literally got it in like 2 days, which I really appreciated since I completely broke my old phone and I need a phone for my job. It does come with a charger, just not an original apple one. No headphones though. The screen looks great and the sound is awesome. I’d been using an iPhone 6 for years so I’m thrilled to have an upgrade. Overall really happy with the purchase, and will be ordering another one for my fiancé!"
390,"Came to me with 86% battery health. I’ve been using the phone for about 2 ish months now. There are no scratches on the glass, there was one small dent at the speakers, and the screen quality and software are perfect. However, a very small portion of the glass seems to have been melted, best I can describe. It doesn’t affect the functionality or feel of the screen, and you can’t even tell anything is wrong unless you hold it a certain way in the light, but it’s significant enough to make it pretty much impossible to use a screen protector without a big bubble appearing under the protector no matter HOW you apply it. Also, the front facing camera also seems to be a lower quality than I expected(it still works fine tho). However, even with that deformed screen problem, it’s just about the best device I’ve ever owned and it looks and feels almost new and it’s very fast."
391,"For a product this cheap I was hesitant especially given all of the bad reviews, BUT the device I received met my expectations. Minimal scratches on the aluminum casing, no scratches whatsoever on the screen or back glass. Battery was sitting at 91% health, so already pretty good. No issues getting setup, honestly would probably buy again."
392,"ProsThe Battery life says 91% but it charges to 98%It was unlockedI liked the colorI came to this from an LG from 2009 and I am very impressedI can see why people like Iphones so muchConsOne of the speakers is non functionalI wish it had fingerprint instead of facial recognition, I don't use that.It's very slim and I'm nervous about damaging it accidentallyNavigation is different, not really a con but felt it worth mentioningMy hands and wrists get uncomfortable pins and needles if I use it too long, this does not happen with my Nintendo Switch"
393,The phone was cracked and it's taking a long time to do the software update it's been 52 minutes.. And the phone does not want to charge
394,Child really like the face recognition on the phone.
395,"I bought 2 of these iPhone XR's.  My sons was great, he had it up and running in just a few minutes!I didn't have the same luck.  First the unit was scratched... (I had never purchased anything ""renewed"" so that was a surprise to me... ) it also had a sizeable crack/dent on the lower right corner... which was also a shock.  But I figured that is just how refurbished phones looked... the camera looked pristine...and that is why I wanted a newer iPhone model... so I was okay with it.The trouble started when I was setting up the phone... this sucker started getting HOT!  I thought it was because it was being activated... or something... again... I have NEVER purchased a refurbished phone... so I had no idea.  Then after set up... I was done using it.  I sat it on my nightstand and didn't think about it again.When my daughter called me later that afternoon, I picked up the phone... and it was HOTTTTTTTTTTTTT...  I mean iron your clothes hot...  I asked my son if he was experiencing the same thing... and he was not... I asked my daughter if any of her iPhone had ever burned her hand... her answer was ""no"" as well... so I had to return the phone...as something much be wrong with it.I went to print out my return label... and noticed the seller has written that all returned phones with incur a 15% RESTOCKING FEE!So you're telling me... YOU CAN SELL ME A DAMAGED PHONE... AND GET $40-$50 bucks PROFIT?So there is NO incentive to EVER care about sending out good products?That could be a second stream of business all to itself... sell a damaged phone... get money on the return... rinse and repeat!  I WILL BE FIGHTING THIS TOOTH AND NAIL!  This is OUTRAGEOUS!"
396,"Needed a bigger screen as my XS was too small and was having trouble keeping up with my workload. Phone works great, came with no cosmetic damage and 85% battery health. Only some hardly noticeable micro-scratches on the screen. Overall a great price and well worth the upgrade."
397,"Everything about this phone is just amazing ! I was soooo scared to order at first but I literally scrolled thru all the reviews and was just like why not ? And I’m glad I didn’t listen to the bad reviews I’m so glad I didn’t ! Just got my package today I was sooo nervous to open it but when I did I was amazed at how it came in there’s not one scratch or dent or any other damage you would describe on this phone ! Screen is pretty sensitive if you ask me and the camera is beautiful ! Oh and it also works with cricket guys so I’d definitely get it unlocked if you’re a cricket customer like me :) also I just wanna say I brought this from seller MyWit , very good service ! And I would show vids or pictures of the phone but I’m obviously on it now lol just kno this phone is in great condition almost as if its really brand new . Battery life is good too . charges up pretty fast if you ask me and the phone does last awhile I doubt you’d even need a charger to go anywhere with it and also I see how some reviews complain about how it doesn’t come with headphones .. but obviously if you read about the phone and what the seller says about it you’d see that it stated no headphones comes with the package but best believe a charger does ! So yeah I’m glad I didn’t listen to the negative reviews even tho I was worried everyday that I was waitin for my package to come . Other than that I HIGHLYYY RECOMMEND buying a phone from here !"
398,"                    The media could not be loaded.                 This phone has been the best thing I have ever bought. Screen works well lovely color Face ID works perfectly NO SCRATCHES is what I loved the most out of the phone. This phone came with 90% Battery (which is okay but I would loved to have more than 95%). I have read reviews but all the reviews come from different sellers I got my straight from Amazon (Amazon Renewed Premium) which was a little more money than normal Amazon renewed which was so worth it I have had it now for more than 4 months I would say and it has been great. I give it a 4 star because I only had one trouble with the phone at first I could not connect my SIM card in to the phone, I went to my Carrier and the checked if it was lost or stolen (which it was not) and were able to connect my SIM card. Overall this phone has been great for myself I love it great camera, and many more thank you Amazon."
399,"i ordered a white phone and came in red but i still kept it. but despite that, phone works super well and totally worth the money"
400,This product is NOT compatible with boost mobile. Do not listen to the people in questions and answers tab. Please not return on the product takes more than a week to return.
401,Ordered the red unlocked it came as described you can tell it is used came a little dirty the speaker grill could have been cleaned out and there were a few chips along the frame but again it's a used phone for a good deal.  Was unlocked connected just fine to metro by T mobileEverything seems to work great so far
402,"I am on a limited budget so when my iPhone 6 finally bit the dust (dropped it and shattered the screen) I chose to get a refurbished iPhone because I can’t spend a grand on a new phone. This phone came to me in pristine condition and everything works just fine. Swapping everything over from my old phone was so easy. I compared the prices to Walmart and they’re about the same, but I’m more comfortable with Amazon since this is where I do most of my online shopping. I’m satisfied."
403,I was so nervous to buy this phone because of some reviews i just got the phone today but everything so far is great condition and working wise great so far
404,"I am extremely unsatisfied with this purchase. I am hoping “HYRID-IT” I think the company is called, fixes this issue and makes good on their product, and I’d happily update this review if they attempt to do so. I have purchased many phones off of amazon’s market place in refurbished condition, 3 iPhone x’s, and 1 XR, and have NEVER had this happen until I got the XR.The phone was working amazing when first received in November of 2020, it is now august 14th, 2021 and it has died. YES IT LITERALLY DIED. Plugged the phone in to charge before bedtime 2 days ago, and when I woke up the screen never turned on again. I am extremely disappointed. I literally feel like I was stolen from I spent over $300 for this phone and had decently high expectations considering my success with other iPhone purchases in this marketplace; and unfortunately I am feeling as though I am high and dry now. I left the seller a message; I am praying they can do some kind of exchange; even if it involves me going a bit out of pocket, will see if they care enough to even respond. If they do again, I will update this review.***Update, HYDBRID IT MADE THINGS RIGHT."
405,"I will admit to being more the a little nervous ordering a used phone with some of the reviews I read. Those that were negative must have been an unfortunate minority or just rude spiteful people. The iPhone XR I received looks like it was new from an Apple store. No scuffs, scratches, marks, or even a fingerprint on it taking it from the shipping box. So now we get to my one and only complaint. The battery was completely depleted and there is nothing more heartbreaking then having to wait a couple minutes for a battery to charge enough to turn on. So all in all, great experience and phone."
406,My Son Got this for His Birthday  and He was Happy and He Already got a Screen Protector and a Case It is Good  I Give a 10/10 I Suggest getting it
407,"Let me start by saying that I not only wanted this to work, I NEEDED this to work. A new phone was out of my budget so I bought this phone and the iPhone SE refurbished by Amazon.They showed up and looked great. The XR had a tiny dot, almost like a pinch, on the screen and battery life 82%. Ok, decent start. Over the first day I realized I couldn't hear from the ear piece, it sounded muffled like under water. The only way to use the phone was speaker. This was not going to work for me. So I sent it back and figured it was just bad luck.The next one came and I felt like I was one of the lucky ones. Battery life was at 90% and it looked perfect. The sound was great. It worked smoothly. I was successful.That was last week when it came. One week later and the screen just shut off at 70% battery while I was reading a message. So it was not dead. But its gone and won't turn back on.I wish I could even explain the hassle this has been. I wish I could say it was a fluke. But this is the second XR from Amazon in a row. The other iPhone SE went back as well. It was so slow and the screen was not responsive. I got locked out on the first day because the touch screen and keypad didn't respond.Please save yourself the headache. Stay far away."
408,At first I thought it would be a scam but it’s a real iPhone and it work like it’s brand new out the box
409,Bought this phone for my teen since they break their phone every year. Great value and easy to use. Looks brand new.
410,La verdad todo muy bien en Ecuador funciona lo único q me vino la pantalla con unas rayitas media superficial pero nada grande
411,"90% of the time this phone was great. But it only lasted a year and 4 months. Which....for how little I use it, was not great in my opinion.  It was wonky at times, doing random things but never anything significant. It powered off the other day, and seems to be fried now.  Couldn't even restore it....Time for a new one, I guess."
412,I’ve added my dad to team iPhone lol. The phone we received had a super tiny scratch on the side of the screen but nothing crazy damaging to the phone! It still works great! Looks and sounds great! And my dad is loving his phone! I’ve ordered another phone previously with this same seller and just recommended my mother to purchase one from here as well. So far so good !
413,"Little nicks off the metal around the camera and sides. And the mics/speaker areas are dirty af. Overall the phone is solid though. Like, the glass isn’t broken or trying to come apart.It’s for my old dad so he doesn’t need brand new quality as long as it turns on and functions fine. I got it to update to iOS 15 yesterday, no glitches or apple icon forever screen. At hundreds of dollars I was hoping for less nicks or scratches but my dad says it’s fine so I gave 4 stars for effort and the fact that it actually turned on 😅 ngl I was worried I may have bought a dud. Guess we will see if it lasts till January…(when the warranty ends)"
414,Nice phone for 10 days. Then just stopped. Returned
415,"I honestly bought this to replace my iPhone 6.Being candid, I’m to the point of disdain with Apple. They used to be geared towards creatives, and still are. Some of the music apps I use on my iPad and iPhone are, alone, enough to keep me. The machines are superior to the competition. But jacking the cost of their mid-level laptops near $1800 (think new, with 16 gb ram and what do they give you a SSD with not enough memory?Anyway, this phone has a pretty large screen so I can  actually utilize apps like Garage Band (everyone knows that program so I’ll use it for example). There is so much going on in that program, as of the last few years I have just enough room to use it fairly well. This phone is quite heavy. It’s at least twice as heavy as my 6sx.3 gb ram( thought about kicking the dough for the models just a notch up in the ‘X’ family, but the price was a lot higher.I like the red color. I didn’t know it, but I guess it’s an AIDS Awareness special model. I was already aware there was a disease called AIDS, but know I have to keep it in a case so I don’t look like a ‘cause’ person.Bottom line. I have not got into the camera features, but the video when run into my 50”4K knockoff brand, looks fantastic."
416,Amazing iPhone XR I love it I bought one for me and one for my daughter I ended up returning mine not because anything was wrong with it only because I wanted the 11 Pro Max which is only a little bit bigger than this iPhone XR my daughter still has hers and it works amazingly haven’t had one problem both phones we received with not one scratch they were brand new looking and they were shipped pretty quickly I believe we received them within three days so I definitely recommend buying from the seller
417,"It’s been a great phone!! There were some bugs that I just chose to live with, one of them being that the keypad would not come back up sometimes when I took the phone off my ear after finishing a phone call and I would have to click the lock button once or twice for it to come back up so I could hang up. I know there was another issue, but it was so small I can’t remember what it was. All in all, it is more than a good deal for the price you’re paying. I was in a tight spot financially I needed a good phone and got waaaay more than I expected. Also, a word to the not so wise about smart phones, GET TEMPERED GLASS SCREEN PROTECTORS!!!! If you don’t think you can afford $12 (on the high end) for a screen protector, then be prepared to spend hundreds to replace your screen when it no longer functions properly lol 😬… they have literally saved me hundreds of dollars."
418,The phone is good as described.
419,After a year battery life goes down significantly.  Phone gets hot if used longer than 10 minutes.
420,"The battery life isn’t as good as it could be but, the battery health was only 88% when I got it. Other then that it’s perfect"
421,Came with no scratches on the screen or glass back. There was the tiniest scratch on the camera lens itself but nothing that affects the quality of it. All i had to do was switch my sim card from my Iphone 8 to the Iphone xr and boom my phone was all good to go. would definitely buy again.
422,"The Amazon Premium Renewed gets 5 stars all on its own. If you can find a device with that, pay the extra (from 'just' Amazon Renewed) and get it! Also, absolutely cannot tell the phone was ever pre-owned or pre-used!!The iPhone XR was an upgrade gift for my Dad from my Mom. His old device was an iPhone 6. He takes ALOT of photos. Every truck show, every tractor show, every time the grands are around, and all the weird bugs... he has pics - lol. And his iPhone 6 (8GB! Lol) ran into a conundrum: It was full of photos, so it didn't have space for his updates. And because it couldn't update, he couldn't upload his photos to the cloud. Also, he wanted a bigger screen. (I'm the same, why put on glasses when you can just have a bigger screen 🤷🏼‍♀️).I honestly thought that the 'swipe the screen away' feature - replacing the home button - would drive him up the wall. He hasn't said a word! (BEEEEELIEVE me... he's at that wonderful, fully liberated age where he says whatever he thinks and does 👊🏻 not 👊🏻 care). He truly loves this phone! Score 1 for technology when an OG Baby Boomer embraces the ease of use, transitioning up (what?) 4 years in advancements and upgrades AND LIKES IT!!"
423,The purchase is new and sweet. Great investment and awesome shipping time.
424,My son loves it
425,I had the iPhone 8 for a while and had to upgrade. Trustworthy purchase. Was delivered 2 days early. No complaints.
426,I must say this was my first time buying a refurbished phone and I was skeptical about it but I read reviews and many said they got nearly mint condition phones. So I bought it and they sent me a phone with plenty of scratches on the screen. I found that unacceptable and I contacted the seller. I returned that phone and they sent me a phone that’s immaculate. I mean it might as well be brand new and the battery is PERFECT. I don’t have to charge this battery more than once a day with moderate use. This is my first iPhone as well and although there are some features I wish they had that were more like Android I can now understand the iPhone fanboys. The seller was so accommodating and I feel like I got a brand new phone for much cheaper than regular price. I wish I could give 4.5 instead of 4 stars and the only reason why I would deduct a half star is because they gave me a bad charger. Because of that I can’t give a 5 star review. Sorry. But I used my Samsung fast charger with the iPhone cord and it charges fast now. Other than that I highly recommend this seller.
427,"Phone was almost perfect. Physically nice. Battery health was 88% which was disappointing, but I didn't mind... Until it plummeted to 84% within the first 24 hours of having it. That's a bad omen if not a sign of % spoofing. Kinda bummed, Verizon."
